PERIODO,MES,COD_TIPO_OPERACION,COD_REGION_ORIGEN,COD_VIA_TRANSPORTE,COD_PUERTO_EMBARQUE,COD_PAIS_DESTINO,ITEM_SA,FOB_US_DUSLEG,FOBUS_AJUSTADO_IVV,PESO_BRUTO_KG,CANTIDAD_MERCANCIA,COD_UNIDAD_MEDIDA
2025,1,200,1,1,901,220,28012000,"1549717,91","1549717,91","22615,5",21600,6
2025,1,200,2,1,901,220,28012000,"5166691,41","5166691,41",74994,72000,6
2025,1,200,15,1,901,216,74031100,"1790857,3","1778530,94",202125,201965,6
2025,1,200,1,1,204,336,26030000,"14986616,66","13683014,05",10006500,10006500,6
2025,1,200,1,1,204,336,26030000,"92640360,48","90142907,39",42004000,42004000,6
2025,1,200,1,1,204,336,26030000,"157996018,29","158196104,26",98043400,98043400,6
2025,1,200,1,1,204,333,26030000,"22743128,57","23346448,51",10507000,10507000,6
2025,1,200,1,1,204,333,26030000,"16282748,64","16466242,14",10012400,10012400,6
2025,1,200,1,1,204,331,26030000,"22443019,07","23337968,88",10500000,10500000,6
2025,1,200,1,1,204,331,26030000,"33727858,87","32629212,32",20021800,20021800,6
2025,1,200,1,1,204,317,26030000,"45199967,59","47737089,49",21000000,21000000,6
2025,1,200,1,1,902,219,28342100,"444247,74","444247,74",571348,562000,6
2025,1,200,1,1,902,206,28342100,"226082,57","226082,57",306480,300000,6
2025,1,200,1,1,902,212,28342100,78708,78708,106176,104000,6
2025,1,200,1,1,902,336,28012000,5684764,5684764,91276,86400,6
2025,1,200,1,1,902,336,26139010,"3241080,95","2924391,18",523097,"514125,8",6
2025,1,200,1,1,902,336,26139010,"3397626,22","3188238,07","244327,4","243787,4",6
2025,1,200,1,1,902,325,26139010,"1063577,4","995860,45",118165,"116242,6",6
2025,1,200,1,1,902,527,28342100,"36312,12","36312,12",49072,48000,6
2025,1,200,1,1,902,504,28012000,1460000,"1273287,79",20976,20000,6
2025,1,200,1,1,902,517,28342100,927624,927624,1273360,1248000,6
2025,1,200,1,1,902,517,28342100,271350,271350,367300,360000,6
2025,1,200,1,1,902,510,28342100,68948,68948,98144,96000,6
2025,1,200,1,1,902,514,28342100,"19556,06","19556,06",24536,24000,6
2025,1,200,1,1,902,515,28342100,"18144,32","18144,32",24536,24000,6
2025,1,200,1,1,902,507,28342100,35874,35874,49072,48000,6
2025,1,200,1,1,902,520,28342100,"17500,46","17500,46",24536,24000,6
2025,1,200,1,1,902,559,28342100,"15485,03","15485,03",21524,21000,6
2025,1,200,1,1,902,128,28342100,"173574,56","173574,56",245360,240000,6
2025,1,200,1,7,959,221,28342100,51896,51896,53088,52000,6
2025,1,200,2,1,902,336,28012000,3153600,3081888,"45164,2",43200,6
2025,1,200,2,1,902,336,28012000,1576800,1487592,"22582,1",21600,6
2025,1,200,2,1,902,510,28012000,1399450,1399450,22512,21600,6
2025,1,200,2,1,902,514,74031100,"234079,76","234079,76",29660,29630,6
2025,1,200,2,1,914,218,28342100,"2245409,28","2245409,28",2514200,2514200,6
2025,1,200,2,7,998,224,28342100,"53861,9","53861,9",56608,54600,6
2025,1,200,1,1,903,225,74031100,"8926836,77","8993523,55",1001413,1000037,6
2025,1,200,2,1,207,225,28012000,2628000,2329110,37691,36000,6
2025,1,200,2,1,207,225,28012000,"1980591,76","1980591,76",29632,28800,6
2025,1,200,2,1,207,225,28252011,"331633,78","331633,78",33636,32656,6
2025,1,200,2,1,207,225,74031100,"32372200,07","32792290,46",3635839,3632861,6
2025,1,200,2,1,207,225,74031100,"35504650,3","36383618,84",4019336,4016136,6
2025,1,200,2,1,207,225,74031100,"5489462,38","6082910,12",607424,606944,6
2025,1,200,2,1,207,225,28012000,"4949294,4","4949294,4",74356,72000,6
2025,1,200,2,1,207,225,74031100,"38872060,35","40068386,12",4350411,4346795,6
2025,1,200,2,1,207,225,74031100,"45686704,5","46218407,05",5161169,5156809,6
2025,1,200,2,1,207,212,28342100,197923,197923,264662,264000,6
2025,1,200,2,1,207,215,28342100,88316,88316,104292,104000,6
2025,1,200,2,1,207,336,28369130,"17959277,18","17959277,18",2765760,2680000,6
2025,1,200,2,1,207,336,28012000,"6071247,53","6071247,53",99520,96000,6
2025,1,200,2,1,207,336,74031100,"255462316,9","256715895,7",28628676,28606208,6
2025,1,200,2,1,207,336,74031100,"1774207,14","1795684,33",205380,204610,6
