period,reporterISO,partnerISO,partnerDesc,flowCode,flowDesc,cmdCode,cmdDesc,primaryValue,netWgt,grossWgt,qty,qtyUnitAbbr,trade_flow
2020,CHL,CRI,Costa Rica,X,Export,281410,Ammonia; anhydrous,2559.18,0.0,0.0,0.0,N/A,export
2020,CHL,ECU,Ecuador,X,Export,281512,Sodium hydroxide (caustic soda); in aqueous solution (soda lye or liquid soda),597.43,0.0,0.0,0.0,N/A,export
2020,CHL,ECU,Ecuador,X,Export,281410,Ammonia; anhydrous,7149.81,0.0,0.0,0.0,N/A,export
2020,CHL,GTM,Guatemala,X,Export,281410,Ammonia; anhydrous,4633.36,0.0,0.0,0.0,N/A,export
2020,CHL,NIC,Nicaragua,X,Export,281410,Ammonia; anhydrous,4838.36,0.0,0.0,0.0,N/A,export
2020,CHL,PER,Peru,X,Export,740610,Copper; powders of non-lamellar structure,13669.36,0.0,0.0,0.0,N/A,export
2020,CHL,S19,"Other Asia, nes",X,Export,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",869421851.067,136895130.0,0.0,136895130.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,283691,Carbonates; lithium carbonate,874374.81,164000.0,0.0,164000.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,720449,Ferrous waste and scrap; n.e.c. in heading no. 7204,5383209.19,24057081.0,0.0,24057081.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,310100,"Fertilizers, animal or vegetable; whether or not mixed together or chemically treated; fertilizers, produced by the mixing or chemical treatment of animal or vegetable products",267180.0,225000.0,0.0,225000.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,720421,Ferrous waste and scrap; of stainless steel,571902.93,495664.0,0.0,495664.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,283421,Nitrates; of potassium,175389.04,174000.0,0.0,174000.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,310590,"Fertilizers, mineral or chemical; n.e.c. in heading no. 3105",103955.2,212400.0,0.0,212400.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,741300,"Copper; stranded wire, cables, plaited bands and the like, not electrically insulated",14958.92,3599.0,0.0,3599.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,761490,"Aluminium; stranded wire, cables, plaited bands and the like, (not electrically insulated), other than steel core",242010.39,185040.0,0.0,185040.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,261310,Molybdenum ores and concentrates; roasted,1045216.02,100000.0,0.0,100000.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,310250,"Fertilizers, mineral or chemical; nitrogenous, sodium nitrate",12684.57,21000.0,0.0,21000.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,310230,"Fertilizers, mineral or chemical; nitrogenous, ammonium nitrate, whether or not in aqueous solution",407247.4,900000.0,0.0,900000.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,760200,Aluminium; waste and scrap,885104.82,885049.0,0.0,885049.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,720430,Ferrous waste and scrap; of tinned iron or steel,3126367.05,15385340.0,0.0,15385340.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,720429,Ferrous waste and scrap; of alloy steel (excluding stainless),1196799.91,5345854.0,0.0,5345854.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,260300,Copper ores and concentrates,145765548.518,19847730.0,0.0,19847730.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,720270,Ferro-alloys; ferro-molybdenum,265499.1,20000.0,0.0,20000.0,kg,export
2020,CHL,S19,"Other Asia, nes",X,Export,740400,Copper; waste and scrap,638803.1,133278.0,0.0,133278.0,kg,export
2020,CHL,NOR,Norway,X,Export,721190,"Iron or non-alloy steel; flat-rolled, n.e.c. in heading no. 7211, width less than 600mm",2132.45,98.857,0.0,98.857,kg,export
2020,CHL,NOR,Norway,X,Export,280120,Iodine,22489910.17,671400.0,0.0,671400.0,kg,export
2020,CHL,NOR,Norway,X,Export,761100,"Aluminium; reservoirs, tanks, vats and similar containers, for material (not compressed or liquefied gas), of a capacity over 300l, whether or not lined, not fitted with mechanical/thermal equipment",16786.0,475.0,0.0,475.0,kg,export
2020,CHL,NOR,Norway,X,Export,310250,"Fertilizers, mineral or chemical; nitrogenous, sodium nitrate",57265.09,120000.0,0.0,120000.0,kg,export
2020,CHL,IND,India,X,Export,260300,Copper ores and concentrates,480157141.217,73664630.0,0.0,73664630.0,kg,export
2020,CHL,IND,India,X,Export,721921,"Steel, stainless; flat-rolled, width 600mm or more, hot-rolled, (not in coils), of a thickness exceeding 10mm",510.0,650.0,0.0,650.0,kg,export
2020,CHL,IND,India,X,Export,310590,"Fertilizers, mineral or chemical; n.e.c. in heading no. 3105",206947.39,226796.0,0.0,226796.0,kg,export
2020,CHL,IND,India,X,Export,720410,Ferrous waste and scrap; of cast iron,134983.12,372112.0,0.0,372112.0,kg,export
2020,CHL,IND,India,X,Export,810199,Tungsten (wolfram); articles n.e.c. in heading no. 8101,724.85,50.0,0.0,50.0,kg,export
2020,CHL,IND,India,X,Export,283539,"Polyphosphates; other than sodium triphosphate (sodium tripolyphosphate), whether or not chemically defined",9431.1,500.0,0.0,500.0,kg,export
2020,CHL,IND,India,X,Export,720421,Ferrous waste and scrap; of stainless steel,4727739.01,3922342.0,0.0,3922342.0,kg,export
2020,CHL,IND,India,X,Export,760720,"Aluminium; foil, backed with paper, paperboard, plastics or similar backing materials, of a thickness (excluding any backing) not exceeding 0.2mm",5603.22,34106.0,0.0,34106.0,kg,export
2020,CHL,IND,India,X,Export,761490,"Aluminium; stranded wire, cables, plaited bands and the like, (not electrically insulated), other than steel core",134950.94,90902.0,0.0,90902.0,kg,export
2020,CHL,IND,India,X,Export,310520,"Fertilizers, mineral or chemical; containing the three fertilizing elements nitrogen, phosphorus and potassium",202620.78,55930.0,0.0,55930.0,kg,export
2020,CHL,IND,India,X,Export,740400,Copper; waste and scrap,2327662.24,655606.0,0.0,655606.0,kg,export
