FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM
Boric acid and agrochemical plants,plant,-18.4414,-69.879,Arica,port,-18.48,-70.33,boron_to_port,borate,Boron,47.8
Boric acid plant at Antofagasta,plant,-23.6427,-70.2567,Antofagasta (ATI),port,-23.65,-70.4,boron_to_port,borate,Boron,14.6
Salar de Atacama,mine,-23.46999999999997,-68.29999999999995,Antofagasta (ATI),port,-23.65,-70.4,boron_to_port,borate,Boron,215.0
Cerro Bayo concentration plant,concentrator,-46.5463,-71.9995,Los Vilos,port,-31.91,-71.51,concentrate_to_port,concentrate,Gold,1628.0
Concentration plant,concentrator,-46.5463,-71.9995,Los Vilos,port,-31.91,-71.51,concentrate_to_port,concentrate,Silver,1628.0
Doña Rosa concentration plant,concentrator,-45.0341,-71.9341,Los Vilos,port,-31.91,-71.51,concentrate_to_port,concentrate,Gold,1459.8
El Romeral concentration plant,concentrator,-29.7282,-71.2317,Coquimbo,port,-29.96,-71.35,concentrate_to_port,concentrate,Iron,28.2
Minera Florida concentration plant,concentrator,-34.0348,-71.0265,Los Vilos,port,-31.91,-71.51,concentrate_to_port,concentrate,Gold,240.5
Tortolas molybdenum flotation plant,concentrator,-33.1409,-70.7086,Los Vilos,port,-31.91,-71.51,concentrate_to_port,concentrate,Molybdenum,156.1
El Algarrobito concentration plant,concentrator,-28.8028,-70.9839,Hernán Videla Lira smelter,smelter,-27.37,-70.3,concentrate_to_smelter,concentrate,Iron,172.9
El Laco concentration plant,concentrator,-23.8435,-67.4856,Altonorte smelter,smelter,-23.78,-70.31,concentrate_to_smelter,concentrate,Iron,287.4
El Peñón concentration plant,concentrator,-24.4116,-69.4969,Altonorte smelter,smelter,-23.78,-70.31,concentrate_to_smelter,concentrate,Gold,108.4
Escondida concentrator,concentrator,-24.2628,-69.0581,Altonorte smelter,smelter,-23.78,-70.31,concentrate_to_smelter,concentrate,Copper,138.0
Esperanza milling/flotation plant,concentrator,-22.9998,-69.1036,Altonorte smelter,smelter,-23.78,-70.31,concentrate_to_smelter,concentrate,Gold,150.6
Huasco concentration plant,concentrator,-28.2907,-70.8125,Hernán Videla Lira smelter,smelter,-27.37,-70.3,concentrate_to_smelter,concentrate,Iron,114.1
Los Colorados concentration plant,concentrator,-28.291,-70.8129,Hernán Videla Lira smelter,smelter,-27.37,-70.3,concentrate_to_smelter,concentrate,Iron,114.2
Altonorte smelter,smelter,-23.8247,-70.3178,Antofagasta (air),port,-23.44,-70.44,gold_to_airport,gold_refined,Gold,44.6
Biocobre refinery,smelter,-27.5734,-70.2484,Antofagasta (air),port,-23.44,-70.44,gold_to_airport,gold_refined,Gold,460.0
