FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL,VALUE_USD
Coloso,port,-23.76,-70.45,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,21.07,kMT,60.2,192722443.145694
Mejillones,port,-23.1,-70.45,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,12.04,kMT,60.2,110127110.36896798
Patache,port,-20.8,-70.22,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,9.03,kMT,60.2,82595332.776726
Barquito,port,-27.07,-70.84,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,4.82,kMT,60.2,44087431.22744399
Coquimbo,port,-29.96,-71.35,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,7.22,kMT,60.2,66039679.141523995
Angamos,port,-23.1,-70.42,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,3.01,kMT,60.2,27531777.592241995
Caldera,port,-27.07,-70.82,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,3.01,kMT,60.2,27531777.592241995
Coloso,port,-23.76,-70.45,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.1,kMT,0.3,914676.9964199999
Mejillones,port,-23.1,-70.45,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.06,kMT,0.3,548806.1978519999
Patache,port,-20.8,-70.22,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.04,kMT,0.3,365870.79856799997
Barquito,port,-27.07,-70.84,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.02,kMT,0.3,182935.39928399998
Coquimbo,port,-29.96,-71.35,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.04,kMT,0.3,365870.79856799997
Angamos,port,-23.1,-70.42,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.01,kMT,0.3,91467.69964199999
Caldera,port,-27.07,-70.82,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.01,kMT,0.3,91467.69964199999
Coloso,port,-23.76,-70.45,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,12.67,kMT,36.21,115889575.44641398
Mejillones,port,-23.1,-70.45,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,7.24,kMT,36.21,66222614.54080799
Patache,port,-20.8,-70.22,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,5.43,kMT,36.21,49666960.905605994
Barquito,port,-27.07,-70.84,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,2.9,kMT,36.21,26525632.896179996
Coquimbo,port,-29.96,-71.35,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,4.35,kMT,36.21,39788449.34427
Angamos,port,-23.1,-70.42,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,1.81,kMT,36.21,16555653.635201998
Caldera,port,-27.07,-70.82,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,1.81,kMT,36.21,16555653.635201998
Coloso,port,-23.76,-70.45,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,22.89,kMT,65.4,209369564.48053798
Mejillones,port,-23.1,-70.45,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,13.08,kMT,65.4,119639751.13173598
Patache,port,-20.8,-70.22,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,9.81,kMT,65.4,89729813.34880199
Barquito,port,-27.07,-70.84,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,5.23,kMT,65.4,47837606.912765995
Coquimbo,port,-29.96,-71.35,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,7.85,kMT,65.4,71802144.21896999
Angamos,port,-23.1,-70.42,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,3.27,kMT,65.4,29909937.782933995
Caldera,port,-27.07,-70.82,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,3.27,kMT,65.4,29909937.782933995
Coloso,port,-23.76,-70.45,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,,3.4,kMT,9.7,31099017.878279995
