MINE_NAME,MINE_IDX,MINE_TYPE,MINE_STATUS,MINE_LAT,MINE_LON,MINE_REGION,MINE_OPERATOR,PLANT_NAME,PLANT_IDX,PLANT_TYPE,PLANT_STATUS,PLANT_LAT,PLANT_LON,PLANT_OPERATOR,PLANT_OWNER,PLANT_CAPACITY,PLANT_CAPACITY_UNITS,SHARED_COMMODITIES,DISTANCE_KM,PRODUCT_FORM
Alhué,1.0,Mine (active),Active,-34.00799999999998,-70.97799999999995,Metropolitana de Santiago,,Minera Florida concentration plant,362.0,Concentrator,Active,-34.0348,-71.0265,Minera Florida S.A. ,"Yamana Gold Inc., 100%","3,100",kg,Gold,5.4,concentrate
Alhué,1.0,Mine (active),Active,-34.00799999999998,-70.97799999999995,Metropolitana de Santiago,,Minera Florida concentration plant,364.0,Concentrator,Active,-34.0348,-71.0265,Minera Florida S.A. ,"Yamana Gold Inc., 100%","31,000",kg,Silver,5.4,concentrate
Alhué,1.0,Mine (active),Active,-34.00799999999998,-70.97799999999995,Metropolitana de Santiago,,Minera Florida concentration plant,365.0,Concentrator,Active,-34.0348,-71.0265,Minera Florida S.A. ,"Yamana Gold Inc., 100%","6,500",mt,Zinc,5.4,concentrate
Alhué,1.0,Mine (active),Active,-34.00799999999998,-70.97799999999995,Metropolitana de Santiago,,Los Bronces Plants,343.0,Processing Plant,Active,-33.1462,-70.2863,Anglo American Sur S.A. ,"Anglo American plc, 50.1%, Mitsubishi Corp., 20.4%, Corporación Nacional del Cobre, 20%, and Mitsui & Co., Ltd., 9.5% ","35,000",kg,Silver,115.3,concentrate
Alhué,1.0,Mine (active),Active,-34.00799999999998,-70.97799999999995,Metropolitana de Santiago,,Las Ventanas refinery and smelter,456.0,Smelter,Active,-32.7618,-71.4812,Corporación Nacional del Cobre (CODELCO),"Government, 100%","12,000",kg,Gold,146.2,blister
Alhué,1.0,Mine (active),Active,-34.00799999999998,-70.97799999999995,Metropolitana de Santiago,,Las Ventanas refinery and smelter,458.0,Smelter,Active,-32.7618,-71.4812,Corporación Nacional del Cobre (CODELCO),"Government, 100%","220,000",kg,Silver,146.2,blister
Altamira,2.0,Mine (active),Active,-25.835999999999956,-69.85699999999997,Antofagasta,,Franke SX-EW Plant,324.0,SX-EW Plant,Active,-25.8334,-69.8639,Sociedad Contractual Minera Franke ,"KGHM International Ltd., 100%",,,Copper,0.7,cathode_sxew
Altamira,2.0,Mine (active),Active,-25.835999999999956,-69.85699999999997,Antofagasta,,Potrerillos SX-EW refinery and smelter,435.0,Smelter,Active,-26.283,-69.5965,Corporación Nacional del Cobre (CODELCO),"Government, 100%",70,tmt,Copper,56.1,cathode_sxew
Altamira,2.0,Mine (active),Active,-25.835999999999956,-69.85699999999997,Antofagasta,,José Antonio Moreno,335.0,Processing Plant,Active,-25.3963,-70.4742,Empresa Nacional de Minería (ENAMI),"Government, 100%",180,tmt,Copper,78.9,concentrate
Altamira,2.0,Mine (active),Active,-25.835999999999956,-69.85699999999997,Antofagasta,,Osvaldo Martínez,370.0,Processing Plant,Active,-26.4196,-70.3172,Empresa Nacional de Minería (ENAMI),"Government, 100%",180,tmt,Copper,79.5,concentrate
