Nitrate_Resource,COMMTYPE,LONGITUD,COMBINACION_CRITICO,CRITICO_3,Iodine_Resource,ESTADO_DEPOSITO,Molybdenum_Reserve,OPERATOR_NAME,ECAP,DDLAT,Rare Earths_Resource,COMUNA,Potassium_Reserve,ANNCAP,Titanium_Resource,OWNER_NAME,CRITICO_1,NOMBRE_DEPOSITO,OrdFranj,PROVINCIA,OPERATOR,FACTYPE,STATUS,OWNER,COUNTRY,ADM1,LOCACC,ELEVACION,LATITUD,YEAR,OTROS_NOMBRES,Lithium_Reserve,LOCDESC,PRIMARY_COMMODITY,DDLONG,Manganese_Resource,MIN_PROD,Copper_Reserve,SOURCEID,FACILITY_TYPE,OrdReg,ISO_CC,ID,MULTI_PROD,FACID_NUM,Iron_Reserve,REGION,Cobalt_Resource,Iron_Resource,FACILITY_NAME,UNITS,COMMODITY,Potassium_Resource,MODELO_DEPOSITO,Silver_Reserve,Zinc_Resource,MULTI_COMM,FACID,Gold_Resource,Boron_Resource,VALOR_DATO,ID_SIA_YACIMIENTO,ID_ATLAS_FAENA,Copper_Resource,Molybdenum_Resource,Lithium_Resource,Iodine_Reserve,SISTEMA_MINERAL,Boron_Reserve,SOURCE,COMB_CRIT_COD,ALL_COMMODITIES_RAW,FRANJA_METALOGENICA,Gold_Reserve,OTROS_CRITICOS,COMBOCAP,ROWID,OBJECTID,GRUPO_MODELO,CRITICO_2,LOCNAME,Nitrate_Reserve,Zinc_Reserve,REFERENCIA,CAPACITY_UNITS,Silver_Resource,COMMENTS,CRITICO_4,CAPACITY,N_COMMODITIES,COMMODITY_LIST_STR,COCHILCO_CU_2024_KMT,COCHILCO_COMPANY,COCHILCO_MO_2024_MT,COCHILCO_AU_2024_KG,COCHILCO_AG_2024_KG,COCHILCO_FE_2024_KMT,COCHILCO_ZN_2024_MT,COCHILCO_PB_2024_MT,COCHILCO_LICO3_2024_MT,COCHILCO_LIOH_2024_MT,COCHILCO_LISO4_2024_MT,COCHILCO_IO_2024_MT,COCHILCO_NO3_2024_MT,COCHILCO_ULEXITE_2024_MT,COCHILCO_BORICACID_2024_MT,COCHILCO_KCL_2024_MT,COCHILCO_SALT_2024_MT,COCHILCO_CUSO4_2024_MT,COCHILCO_LIMESTONE_2024_MT,COCHILCO_GYPSUM_2024_MT,COCHILCO_PUMICITE_2024_MT,COCHILCO_QUARTZ_2024_MT,COCHILCO_SILICASAND_2024_MT,COCHILCO_BAUXCLAY_2024_MT,COCHILCO_KAOLIN_2024_MT,COCHILCO_BENTONITE_2024_MT,COCHILCO_DIATOMITE_2024_MT,COCHILCO_DOLOMITE_2024_MT,COCHILCO_TALC_2024_MT,COCHILCO_PERLITE_2024_MT,COCHILCO_PEAT_2024_MT,COCHILCO_PHOSPHATE_2024_MT,COCHILCO_COQUINA_2024_MT,COCHILCO_WHITITE_2024_MT,COCHILCO_ZEOLITE_2024_MT,USD_VALUE_CU,USD_VALUE_MO,USD_VALUE_AU,USD_VALUE_AG,USD_VALUE_FE,USD_VALUE_ZN,USD_VALUE_PB,USD_VALUE_LICO3,USD_VALUE_LIOH,USD_VALUE_LISO4,USD_VALUE_IO,USD_VALUE_NO3,USD_VALUE_ULEXITE,USD_VALUE_BORICACID,USD_VALUE_KCL,USD_VALUE_SALT,USD_VALUE_CUSO4,USD_VALUE_LIMESTONE,USD_VALUE_COQUINA,USD_VALUE_WHITECACO3,USD_VALUE_GYPSUM,USD_VALUE_PUMICITE,USD_VALUE_QUARTZ,USD_VALUE_SILICASAND,USD_VALUE_BAUXCLAY,USD_VALUE_KAOLIN,USD_VALUE_BENTONITE,USD_VALUE_DIATOMITE,USD_VALUE_DOLOMITE,USD_VALUE_TALC,USD_VALUE_PERLITE,USD_VALUE_PEAT,USD_VALUE_PHOSPHATE,USD_VALUE_ZEOLITE,USD_VALUE_TOTAL,CHAIN_STAGE
3377115.0,,-69.85999999999996,Nitrato-Yodo,,67580.8,Mina paralizada,,Atacama Minerals Chile Minera ,,,,Antofagasta,,,,SCM Bullmine and RB Energy,Nitrato,Aguas Blancas,11.0,Antofagasta,,,Idle,,,,,,-24.13999999999993,,,,,Nitrate,,,,,,Mine (idle),3.0,,1.0,,,,Antofagasta,,,Aguas Blancas,,,,Campo de nitrato-yodo,,,,,,,Actualizado,,,,,,38403.07,Sedimentario-Atmosférico,,Sernageomin_2025,"MIN_14, MIN_16",Nitrato-Yodo,Mioceno-Pleistoceno,,,,,1.0,Campo de nitrato-yodo,Yodo,,,,https://www.sernageomin.cl/planes-de-cierre/,,,,,,2,"Nitrate, Iodine",,,,,,,,,,,,636.4444444444445,63346.36363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48808606.222222224,79689725.45454545,,,,,,,,,,,,,,,,,,,,,,,128498331.67676768,extraction_idle
,,-70.97799999999995,Oro-Plata-Cinc,Cinc,,Mina en producción,,,,,,Alhué,,,,,Oro,Alhué,6.0,Melipilla,,,Active,,,,,,-34.00799999999998,,"Minera Florida, Florida",,,Gold,,,,,,Mine (active),7.0,,2.0,,,,Metropolitana de Santiago,,,Alhué,,,,Epitermal de baja sulfuración,67.2,112180.0,,,37.07,,Actualizado,"4242, 4289, 4290",,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_12, MIN_17, MIN_18",Oro-Plata-Cinc,Cretácico Superior,9.624,,,,2.0,Epitermales,Plata,,,29700.0,https://panamericansilver.com/operations/reserves-and-resources/,,191.2,,,,3,"Gold, Silver, Zinc",,,,2492.0,59442.0,,6060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190839707.22950277,53892787.179793596,,16842948.470039997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261575442.87933636,extraction
,,-69.85699999999997,Cobre,,,Mina en producción,,,,,,Taltal,,,,,Cobre,Altamira,5.0,Antofagasta,,,Active,,,,,,-25.835999999999956,,,,,Copper,,,,,,Mine (active),3.0,,3.0,,,,Antofagasta,,,Altamira,,,,Estratoligado,,,,,,,Actualizado,2470,,429878.0,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_01,Cobre,Cretácico Inferior,,,,,3.0,Estratoligado,,,,,https://www.sernageomin.cl/planes-de-cierre/,,,,,,1,Copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extraction
,,-69.93159999999995,Oro-Plata,,,Prospecto/Proyecto,,,,,,Vicuña,,,,,Oro,Alturas,9.0,Elqui,,,Prospect/Project,,,,,,-30.017299999999977,,,,,Gold,,,,,,Prospect/Project,5.0,,4.0,,,,Coquimbo,,,Alturas,,,,Epitermal de alta sulfuración,,,,,170.48,,Histórico,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_17, MIN_18",Oro-Plata,Mioceno,,,,,4.0,Epitermales,Plata,,,,https://www.annualreports.com/HostedData/AnnualReportArchive/b/TSX_ABX_2015.pdf,,,,,,2,"Gold, Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extraction
,,-69.81299999999999,Oro-Plata,,,Mina en producción,,,,,,Taltal,,,,,Oro,Amancaya,7.0,Antofagasta,,,Active,,,,,,-25.57899999999995,,Operación Guanaco-Amancaya,,,Gold,,,,,,Mine (active),3.0,,5.0,,,,Antofagasta,,,Amancaya,,,,Epitermal de baja sulfuración,3.79056,,,,3.17864,,Actualizado,6962,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_17, MIN_18",Oro-Plata,Paleoceno-Eoceno,1.52874,,,,5.0,Epitermales,Plata,,,,https://australgold.com/wp-content/uploads/2023/03/SLR-Austral-Guanaco-Amancaya-NI-43-101-FINAL-25-March-2022-1.pdf,,7.32105,,,,2,"Gold, Silver",,,,70.23603572480239,752.9682187186645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5378741.771541809,682674.808461244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6061416.580003053,extraction
,,-70.30699999999996,Cobre-Molibdeno,,,Prospecto/Proyecto,,,,,,Putaendo,,,,,Cobre,Amos,10.0,San Felipe de Aconcagua,,,Prospect/Project,,,,,,-32.27999999999997,,Amos-Andrés,,,Copper,,,,,,Prospect/Project,6.0,,6.0,,,,Valparaíso,,,Amos,,,,Pórfido de Cu-Mo,,,,,,,Sin información,5516,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_03, MIN_04",Cobre-Molibdeno,Mioceno-Plioceno,,Renio,,,6.0,Pórfidos,Molibdeno,,,,,,,,,,2,"Copper, Molybdenum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extraction
,,-73.41199999999998,Cobre-Cinc,,,Prospecto/Proyecto,,,,,,Natales,,,,,Cobre,Ancón Sin Salida,4.0,Última Esperanza,,,Prospect/Project,,,,,,-52.212999999999965,,,,,Copper,,,,,,Prospect/Project,16.0,,7.0,,,,Magallanes y de la Antártica Chilena,,,Ancón Sin Salida,,,,VMS,,,,,,,Sin información,6357,,,,,,Volcanogénico,,Sernageomin_2025,"MIN_01, MIN_12",Cobre-Cinc,Jurásico-Cretácico,,,,,7.0,VMS,Cinc,,,,,,,,,,2,"Copper, Zinc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extraction
,,-71.10096999999996,Oro,,,Mina en producción,,Compañía Minera Carmen de Andacollo ,,,,Andacollo,,,,"Teck Cominco Ltd., 90%, and Empresa Nacional de Minería (ENAMI) (Government, 100%), 10%",Oro,Andacollo Oro,5.0,Elqui,,,Active,,,,,,-30.23121999999995,,,,,Gold,,,,,,Mine (active),5.0,,8.0,,,,Coquimbo,,,Andacollo Oro,,,,Epitermal de baja sulfuración,,,,,68.0,,Actualizado,3282,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_17,Oro,Cretácico Inferior,,,,,8.0,Epitermales,,,,,https://www.sernageomin.cl/planes-de-cierre/,,,,,,1,Gold,,,,465.6418895329346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35659294.49127517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35659294.49127517,extraction
,,-70.25399999999996,Cobre-Molibdeno-Renio,Renio,,Mina en producción,,Corporación Nacional del Cobre (CODELCO),,,,Los Andes,,,,"Government, 100%",Cobre,Andina,10.0,Los Andes,,,Active,,,,,,-33.148999999999944,,Río Blanco,,,Copper,,,,7814600.0,,Mine (active),6.0,,9.0,,,,Valparaíso,,,Andina,,,,Pórfido de Cu-Mo,,,,,,,Actualizado,"7434, 7044, 7436",,134175600.0,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_03, MIN_04",Cobre-Molibdeno-Renio,Mioceno-Plioceno,,,,,9.0,Pórfidos,Molibdeno,,,,https://www.codelco.com/prontus_codelco/site/docs/20250329/20250329202724/codelco_memoria_anual_2024.pdf,,,,,,3,"Copper, Molybdenum, Rhenium",181.609,División Andina,1584.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661135746.4283977,74407998.66557199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1735543745.0939696,extraction
,,-69.88299999999998,Cobre,,,Mina en producción,,Antofagasta plc,,,,María Elena,,,,"Antofagasta plc, 70%, Marubeni Corp., 30%",Cobre,Antucoya,5.0,Tocopilla,,,Active,,,,,,-22.637999999999977,,,,,Copper,,,,2074200.0,,Mine (active),3.0,,10.0,,,,Antofagasta,,,Antucoya,,,,Pórfido de Cu,,,,,,,Actualizado,,,3038910.0,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_01,Cobre,Cretácico Inferior,,,,,10.0,Pórfidos,,,,,https://www.aminerals.cl/docs/default-source/archivo/reportes/annual-report-2024.pdf?sfvrsn=3a957ff4_4,,,,,,1,Copper,80.379589,Antucoya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735213610.3999406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735213610.3999406,extraction
