,Coloso,Angamos,Mejillones,Antofagasta (ATI),Iquique,Patache,Barquito,Caldera,Coquimbo,Los Vilos,Ventanas,San Antonio,San Vicente
Andina,1044.1842509345267,1117.5158264286824,1117.5623309482505,1056.336727767741,1438.787983339054,1373.150254335437,678.2957416901426,678.1388742487711,369.48676143278936,181.23034908329268,123.97823446686678,135.99814423471258,476.676178539727
Antucoya,137.56171083970486,75.27316656343642,77.54807741147883,124.32627304498212,271.3918996951278,207.31960390551217,502.1784896697602,501.79471332848465,827.1678523544506,1043.4149448807427,1134.3279380613467,1229.5975255245876,1597.7358130808648
Candelaria,418.06311909826957,491.31900315068776,491.4077691096359,430.1296348520467,812.6275591651232,746.9309938769604,73.57649715078597,72.13169043886862,290.60429361031,502.4514691084206,592.0921153126626,687.1507005341842,1058.5894673773314
Carmen de Andacollo,724.5170855799033,797.9029475929922,797.656632951685,737.1526517027745,1120.4618317815055,1054.4814730523635,354.5082749362618,354.6531896119112,40.2266737140276,188.66746751002486,279.33286967179754,374.6177889400246,744.6692794639148
Caserones,498.2746942096423,570.1568533251946,570.6288994666764,509.4468258348822,886.8153114672913,821.9325619978316,176.72322231705834,175.3015420563815,265.8990326909637,457.40038200977943,541.7963522334384,634.8692356921274,1009.8330233362442
Centinela,164.4281873310569,138.08310854311253,141.1404982000689,153.9356130820692,328.24487142560696,270.40939904321806,487.4299195715291,486.6993307171495,807.5475941092329,1020.636098662605,1109.921337908066,1204.7792282856674,1576.7905527240212
Cerro Negro,981.3252098107286,1054.7773995734012,1054.661840564381,993.7557583587663,1377.0484029996203,1311.172487411191,612.463848204475,612.4720406122806,294.85375239949946,96.37766529065826,61.93541649352841,133.10070131154438,506.2884353201396
Chuquicamata,227.32120947179547,179.95786403344124,182.63930089764312,215.1062585416788,266.3091101177922,215.86202130843887,565.5998716745069,564.9016755786023,886.2243117754946,1099.3565894989122,1188.606166987859,1283.4424208643836,1655.5142408044776
Collahuasi,358.1897867301584,295.3841749078738,297.2467295622323,345.0695182490608,172.8690975327795,158.76733756545642,711.8003057678787,711.1845040742563,1033.9183266877617,1247.6705947042792,1337.1423937908226,1432.04493096341,1803.739769132719
Distrito Michilla,122.93998026668723,52.57900852794339,54.09584105912122,109.89434151265935,275.0003190929052,209.42497348117408,492.3584229280807,492.0890486855211,817.5335821292759,1034.3707426060528,1125.6860061112343,1220.9714016157736,1587.5070283782834
El Abra,262.8651908031927,208.90132273120196,211.3132562701886,250.20841843376715,234.4527543101546,190.3154476850074,607.1059756046589,606.4331323811545,928.2052541325181,1141.5112154542169,1230.817797300546,1325.6704358689567,1697.6509490062483
El Soldado,986.5296822795707,1059.9642198364543,1059.7754393513771,999.072941814698,1382.451322368006,1316.5083895571854,616.8670644927919,616.9568006107606,295.64226754752406,85.92632014901265,36.75009544823591,118.01047598474577,493.1088661755972
