Feature,LASSO,Ridge,Elastic Net,Random Forest,Linear_Avg,Overall_Avg
L1_ECI,1.0,1.0,1.0,1.0,1.0,1.0
Domestic credit to private sector (% of GDP),0.1357681648073061,0.15969930593794793,0.15726361699506902,0.014909564412491834,0.15091036258010768,0.08290996349629975
HCI_x_ProductionValue,0.060675799466731906,0.09353951666124581,0.09045066995807179,0.005572762524480668,0.08155532869534983,0.043564045609915246
Access to electricity (% of population),0.04232874330109263,0.14533519220967683,0.05763700803106066,0.004880872261281472,0.08176698118061004,0.04332392672094576
Human capital index,0.01616536237515059,0.05541836503339841,0.03347712500015709,0.006789234497888357,0.03502028413623536,0.020904759317061858
Total_Production_Value,0.0,0.10746665631228863,0.0,0.0012594349628900342,0.03582221877076288,0.018540826866826458
Urban population (% of total population),0.0036094326056503754,0.07834975403575961,0.020216488067389994,0.002601363730075906,0.03405855823626666,0.018329960983171283
Political stability — estimate,0.0,0.07402671064608554,0.008822755354566439,0.0035952560278477443,0.02761648866688399,0.015605872347365867
Capital depreciation rate,0.0,0.05203969656822612,0.012631609545128906,0.0010156330575157907,0.02155710203778501,0.0112863675476504
Adjusted savings: gross savings (% of GNI),0.0,0.05759519376629892,0.0,0.0013502429239810275,0.019198397922099642,0.010274320423040335
"Gross fixed capital formation, all, Constant prices, Percent of GDP",0.0,0.03534070681722154,0.004189818670373621,0.001094008146661024,0.013176841829198387,0.0071354249879297055
Resource_HHI,0.0,0.0,0.0,0.011492803403128247,0.0,0.005746401701564124
Rule of law index,0.0,0.020080224986220162,0.0,0.004774189753486875,0.006693408328740054,0.0057337990411134646
Forestry rents (% of GDP),0.0,0.018325452280680003,0.0,0.005128419658537765,0.006108484093560001,0.005618451876048883
"Use of IMF credit (DOD, current US$)",0.0,0.028303187961566043,0.0,0.0012247600536578467,0.009434395987188681,0.005329578020423264
RealRate_roll5,0.0,0.029995322605860332,0.0,0.00044481748740994413,0.00999844086862011,0.005221629178015027
GFCF_x_ProductionValue,0.0,0.02671040615705335,0.0,0.0006428240069561979,0.008903468719017782,0.00477314636298699
Trade (% of GDP),0.0,0.02472233463074385,0.0,0.0013038990395036435,0.00824077821024795,0.004772338624875797
Inflation_roll5,0.0,0.007686966062702953,0.0,0.0032204502886211623,0.002562322020900984,0.002891386154761073
Share of investment in GDP,0.0,0.008605498554190577,0.0,0.0027876785023026114,0.0028684995180635257,0.0028280890101830686
"Inflation, consumer prices (annual %)",0.0,0.009032258922912456,0.0,0.0012018734308860742,0.003010752974304152,0.002106313202595113
Government revenue,0.0,0.00601697981364278,0.0,0.0007060173771662714,0.002005659937880927,0.0013558386575235992
Landlocked,0.0,0.006173912865116629,0.0,0.0,0.0020579709550388762,0.0010289854775194381
Real interest rate (%),0.0,0.0020056983740331285,0.0,0.0007076390636002433,0.0006685661246777094,0.0006881025941389764
