Country Code,Year,Variable,Value
AFG,1995,Economic Complexity,-0.451
AFG,1996,Economic Complexity,-0.477
AFG,1997,Economic Complexity,0.063
AFG,1998,Economic Complexity,-0.278
AFG,1999,Economic Complexity,-0.249
AFG,2000,Economic Complexity,-0.169
AFG,2001,Economic Complexity,0.021
AFG,2002,Economic Complexity,-0.334
AFG,2003,Economic Complexity,-0.485
AFG,2004,Economic Complexity,-0.468
AFG,2005,Economic Complexity,-0.135
AFG,2006,Economic Complexity,-0.682
AFG,2007,Economic Complexity,-0.842
AFG,2008,Economic Complexity,-0.206
AFG,2009,Economic Complexity,0.458
AFG,2010,Economic Complexity,-0.008
AFG,2011,Economic Complexity,-0.852
AFG,2012,Economic Complexity,-0.833
AFG,2013,Economic Complexity,-1.058
AFG,2014,Economic Complexity,-0.956
AFG,2015,Economic Complexity,-1.302
AFG,2016,Economic Complexity,-1.543
AFG,2017,Economic Complexity,-1.127
AFG,2018,Economic Complexity,-1.263
AFG,2019,Economic Complexity,-1.156
AFG,2020,Economic Complexity,-1.134
AFG,2021,Economic Complexity,-1.133
AFG,2022,Economic Complexity,-1.347
AFG,2023,Economic Complexity,-1.316
AGO,1995,Economic Complexity,-1.914
AGO,1996,Economic Complexity,-2.328
AGO,1997,Economic Complexity,-1.57
AGO,1998,Economic Complexity,-1.579
AGO,1999,Economic Complexity,-1.505
AGO,2000,Economic Complexity,-1.938
AGO,2001,Economic Complexity,-1.454
AGO,2002,Economic Complexity,-1.898
AGO,2003,Economic Complexity,-1.812
AGO,2004,Economic Complexity,-0.848
AGO,2005,Economic Complexity,-1.257
AGO,2006,Economic Complexity,-1.654
AGO,2007,Economic Complexity,-1.649
AGO,2008,Economic Complexity,-1.516
AGO,2009,Economic Complexity,-0.96
AGO,2010,Economic Complexity,-1.427
AGO,2011,Economic Complexity,-1.23
AGO,2012,Economic Complexity,-1.322
AGO,2013,Economic Complexity,-1.265
AGO,2014,Economic Complexity,-1.736
AGO,2015,Economic Complexity,-1.078
AGO,2016,Economic Complexity,-1.092
AGO,2017,Economic Complexity,-1.581
AGO,2018,Economic Complexity,-1.505
AGO,2019,Economic Complexity,-1.204
AGO,2020,Economic Complexity,-0.893
AGO,2021,Economic Complexity,-1.25
AGO,2022,Economic Complexity,-0.758
AGO,2023,Economic Complexity,-1.052
ALB,1995,Economic Complexity,-0.473
ALB,1996,Economic Complexity,-0.264
ALB,1997,Economic Complexity,-0.367
ALB,1998,Economic Complexity,-0.438
ALB,1999,Economic Complexity,-0.347
ALB,2000,Economic Complexity,-0.204
ALB,2001,Economic Complexity,-0.159
ALB,2002,Economic Complexity,-0.292
ALB,2003,Economic Complexity,-0.141
ALB,2004,Economic Complexity,-0.252
ALB,2005,Economic Complexity,-0.233
ALB,2006,Economic Complexity,-0.352
ALB,2007,Economic Complexity,-0.309
ALB,2008,Economic Complexity,0.224
ALB,2009,Economic Complexity,0.417
ALB,2010,Economic Complexity,-0.592
ALB,2011,Economic Complexity,-0.487
ALB,2012,Economic Complexity,-0.464
ALB,2013,Economic Complexity,-0.505
ALB,2014,Economic Complexity,-0.57
ALB,2015,Economic Complexity,-0.745
ALB,2016,Economic Complexity,-0.66
ALB,2017,Economic Complexity,-0.514
ALB,2018,Economic Complexity,-0.53
ALB,2019,Economic Complexity,-0.558
ALB,2020,Economic Complexity,-0.397
ALB,2021,Economic Complexity,-0.368
ALB,2022,Economic Complexity,-0.459
ALB,2023,Economic Complexity,-0.298
ARE,1995,Economic Complexity,-0.116
ARE,1996,Economic Complexity,-0.187
ARE,1997,Economic Complexity,-0.194
ARE,1998,Economic Complexity,-0.394
ARE,1999,Economic Complexity,-0.347
ARE,2000,Economic Complexity,-0.249
ARE,2001,Economic Complexity,-0.272
ARE,2002,Economic Complexity,-0.062
ARE,2003,Economic Complexity,-0.078
ARE,2004,Economic Complexity,0.09
ARE,2005,Economic Complexity,-0.129
ARE,2006,Economic Complexity,0.033
ARE,2007,Economic Complexity,-0.078
ARE,2008,Economic Complexity,-0.399
ARE,2009,Economic Complexity,0.155
ARE,2010,Economic Complexity,0.245
ARE,2011,Economic Complexity,-0.051
ARE,2012,Economic Complexity,0.408
ARE,2013,Economic Complexity,0.062
ARE,2014,Economic Complexity,0.145
ARE,2015,Economic Complexity,0.205
ARE,2016,Economic Complexity,0.141
ARE,2017,Economic Complexity,0.338
ARE,2018,Economic Complexity,0.343
ARE,2019,Economic Complexity,0.333
ARE,2020,Economic Complexity,0.317
ARE,2021,Economic Complexity,0.341
ARE,2022,Economic Complexity,0.422
ARE,2023,Economic Complexity,0.432
ARG,1995,Economic Complexity,0.211
ARG,1996,Economic Complexity,0.162
ARG,1997,Economic Complexity,0.293
ARG,1998,Economic Complexity,0.264
ARG,1999,Economic Complexity,0.432
ARG,2000,Economic Complexity,0.395
ARG,2001,Economic Complexity,0.315
ARG,2002,Economic Complexity,0.287
ARG,2003,Economic Complexity,0.283
ARG,2004,Economic Complexity,0.22
ARG,2005,Economic Complexity,0.316
ARG,2006,Economic Complexity,0.344
ARG,2007,Economic Complexity,0.242
ARG,2008,Economic Complexity,0.312
ARG,2009,Economic Complexity,0.201
ARG,2010,Economic Complexity,0.242
ARG,2011,Economic Complexity,0.224
ARG,2012,Economic Complexity,0.084
ARG,2013,Economic Complexity,0.134
ARG,2014,Economic Complexity,0.083
ARG,2015,Economic Complexity,0.035
ARG,2016,Economic Complexity,-0.15
ARG,2017,Economic Complexity,-0.136
ARG,2018,Economic Complexity,-0.232
ARG,2019,Economic Complexity,-0.203
ARG,2020,Economic Complexity,-0.258
ARG,2021,Economic Complexity,-0.436
ARG,2022,Economic Complexity,-0.408
ARG,2023,Economic Complexity,-0.3
ARM,1995,Economic Complexity,0.105
ARM,1996,Economic Complexity,0.855
ARM,1997,Economic Complexity,1.134
ARM,1998,Economic Complexity,0.839
ARM,1999,Economic Complexity,0.57
ARM,2000,Economic Complexity,0.828
ARM,2001,Economic Complexity,0.781
ARM,2002,Economic Complexity,0.694
ARM,2003,Economic Complexity,0.455
ARM,2004,Economic Complexity,0.393
ARM,2005,Economic Complexity,0.168
ARM,2006,Economic Complexity,0.205
ARM,2007,Economic Complexity,0.689
ARM,2008,Economic Complexity,0.336
ARM,2009,Economic Complexity,0.323
ARM,2010,Economic Complexity,0.118
ARM,2011,Economic Complexity,0.637
ARM,2012,Economic Complexity,0.521
ARM,2013,Economic Complexity,0.019
ARM,2014,Economic Complexity,-0.157
ARM,2015,Economic Complexity,0.043
ARM,2016,Economic Complexity,-0.118
ARM,2017,Economic Complexity,-0.36
ARM,2018,Economic Complexity,-0.313
ARM,2019,Economic Complexity,-0.124
ARM,2020,Economic Complexity,-0.214
ARM,2021,Economic Complexity,-0.349
ARM,2022,Economic Complexity,0.391
ARM,2023,Economic Complexity,0.059
AUS,1995,Economic Complexity,0.57
AUS,1996,Economic Complexity,0.466
AUS,1997,Economic Complexity,0.504
AUS,1998,Economic Complexity,0.486
AUS,1999,Economic Complexity,0.361
AUS,2000,Economic Complexity,0.252
AUS,2001,Economic Complexity,0.218
AUS,2002,Economic Complexity,0.234
AUS,2003,Economic Complexity,0.303
AUS,2004,Economic Complexity,0.183
AUS,2005,Economic Complexity,0.23
AUS,2006,Economic Complexity,0.231
AUS,2007,Economic Complexity,0.129
AUS,2008,Economic Complexity,-0.178
AUS,2009,Economic Complexity,-0.117
AUS,2010,Economic Complexity,-0.262
AUS,2011,Economic Complexity,-0.129
AUS,2012,Economic Complexity,-0.193
AUS,2013,Economic Complexity,-0.236
AUS,2014,Economic Complexity,-0.328
AUS,2015,Economic Complexity,-0.242
AUS,2016,Economic Complexity,-0.236
AUS,2017,Economic Complexity,-0.396
AUS,2018,Economic Complexity,-0.345
AUS,2019,Economic Complexity,-0.377
AUS,2020,Economic Complexity,-0.356
AUS,2021,Economic Complexity,-0.637
AUS,2022,Economic Complexity,-0.389
AUS,2023,Economic Complexity,-0.416
AUT,1995,Economic Complexity,2.005
AUT,1996,Economic Complexity,1.857
AUT,1997,Economic Complexity,1.833
AUT,1998,Economic Complexity,1.874
AUT,1999,Economic Complexity,1.792
AUT,2000,Economic Complexity,1.867
AUT,2001,Economic Complexity,1.797
AUT,2002,Economic Complexity,1.832
AUT,2003,Economic Complexity,1.848
AUT,2004,Economic Complexity,1.825
AUT,2005,Economic Complexity,1.755
AUT,2006,Economic Complexity,1.72
AUT,2007,Economic Complexity,1.731
AUT,2008,Economic Complexity,1.631
AUT,2009,Economic Complexity,1.691
AUT,2010,Economic Complexity,1.737
AUT,2011,Economic Complexity,1.695
AUT,2012,Economic Complexity,1.626
AUT,2013,Economic Complexity,1.686
AUT,2014,Economic Complexity,1.744
AUT,2015,Economic Complexity,1.77
AUT,2016,Economic Complexity,1.738
AUT,2017,Economic Complexity,1.687
AUT,2018,Economic Complexity,1.738
AUT,2019,Economic Complexity,1.737
AUT,2020,Economic Complexity,1.73
AUT,2021,Economic Complexity,1.719
AUT,2022,Economic Complexity,1.698
AUT,2023,Economic Complexity,1.732
AZE,1995,Economic Complexity,-0.147
AZE,1996,Economic Complexity,0.408
AZE,1997,Economic Complexity,0.226
AZE,1998,Economic Complexity,0.249
AZE,1999,Economic Complexity,-0.235
AZE,2000,Economic Complexity,-0.175
AZE,2001,Economic Complexity,-0.658
AZE,2002,Economic Complexity,-0.4
AZE,2003,Economic Complexity,-0.563
AZE,2004,Economic Complexity,-0.419
AZE,2005,Economic Complexity,-0.442
AZE,2006,Economic Complexity,-0.648
AZE,2007,Economic Complexity,-0.602
AZE,2008,Economic Complexity,-0.852
AZE,2009,Economic Complexity,-1.141
AZE,2010,Economic Complexity,-1.239
AZE,2011,Economic Complexity,-0.876
AZE,2012,Economic Complexity,-0.683
AZE,2013,Economic Complexity,-1.112
AZE,2014,Economic Complexity,-1.155
AZE,2015,Economic Complexity,-0.967
AZE,2016,Economic Complexity,-0.946
AZE,2017,Economic Complexity,-1.119
AZE,2018,Economic Complexity,-1.236
AZE,2019,Economic Complexity,-0.827
AZE,2020,Economic Complexity,-0.93
AZE,2021,Economic Complexity,-0.787
AZE,2022,Economic Complexity,-0.829
AZE,2023,Economic Complexity,-0.71
