Country Code,Year,Variable,Value
AGO,1995,Production_Hydrocarbons,632.8546027
AGO,1995,Reserves_Hydrocarbons,3.125
AGO,1996,Production_Hydrocarbons,715.9760655737705
AGO,1996,Reserves_Hydrocarbons,3.695
AGO,1997,Production_Hydrocarbons,741.0000000000001
AGO,1997,Reserves_Hydrocarbons,3.9
AGO,1998,Production_Hydrocarbons,730.8493150684932
AGO,1998,Reserves_Hydrocarbons,4.03
AGO,1999,Production_Hydrocarbons,745.0602739726028
AGO,1999,Reserves_Hydrocarbons,5.050000000000001
AGO,2000,Production_Hydrocarbons,746.0614754098362
AGO,2000,Reserves_Hydrocarbons,5.972
AGO,2001,Production_Hydrocarbons,742.0150684931507
AGO,2001,Reserves_Hydrocarbons,6.5
AGO,2002,Production_Hydrocarbons,905.4410958904108
AGO,2002,Reserves_Hydrocarbons,8.9
AGO,2003,Production_Hydrocarbons,869.5630685
AGO,2003,Reserves_Hydrocarbons,8.801
AGO,2004,Production_Hydrocarbons,1106.4412076502729
AGO,2004,Reserves_Hydrocarbons,9.035
AGO,2005,Production_Hydrocarbons,1269.022575342466
AGO,2005,Reserves_Hydrocarbons,9.05
AGO,2006,Production_Hydrocarbons,1401.4402849315068
AGO,2006,Reserves_Hydrocarbons,9.33
AGO,2007,Production_Hydrocarbons,1655.9906047916097
AGO,2007,Reserves_Hydrocarbons,9.5
AGO,2008,Production_Hydrocarbons,1876.3228850133196
AGO,2008,Reserves_Hydrocarbons,9.5
AGO,2009,Production_Hydrocarbons,1753.8328767123287
AGO,2009,Reserves_Hydrocarbons,9.5
AGO,2010,Production_Hydrocarbons,1812.318232741224
AGO,2010,Reserves_Hydrocarbons,9.055
AGO,2011,Production_Hydrocarbons,1670.3999368814025
AGO,2011,Reserves_Hydrocarbons,9.055
AGO,2012,Production_Hydrocarbons,1734.0636514441842
AGO,2012,Reserves_Hydrocarbons,9.055
AGO,2013,Production_Hydrocarbons,1737.851673972603
AGO,2013,Reserves_Hydrocarbons,9.011
AGO,2014,Production_Hydrocarbons,1701.3738257534246
AGO,2014,Reserves_Hydrocarbons,8.423
AGO,2015,Production_Hydrocarbons,1795.6461884931507
AGO,2015,Reserves_Hydrocarbons,9.524
AGO,2016,Production_Hydrocarbons,1744.8374153005468
AGO,2016,Reserves_Hydrocarbons,9.523
AGO,2017,Production_Hydrocarbons,1671.3577063013695
AGO,2017,Reserves_Hydrocarbons,8.384
AGO,2018,Production_Hydrocarbons,1519.2260367123288
AGO,2018,Reserves_Hydrocarbons,8.16
AGO,2019,Production_Hydrocarbons,1420.376491940822
AGO,2019,Reserves_Hydrocarbons,7.783000000000001
ARE,1995,Production_Hydrocarbons,2445.099331974983
ARE,1995,Reserves_Hydrocarbons,103.812525
ARE,1996,Production_Hydrocarbons,2502.4863800287253
ARE,1996,Reserves_Hydrocarbons,103.43939999999999
ARE,1997,Production_Hydrocarbons,2522.9744810581205
ARE,1997,Reserves_Hydrocarbons,103.71142499999999
ARE,1998,Production_Hydrocarbons,2611.4011569976806
ARE,1998,Reserves_Hydrocarbons,103.6461
ARE,1999,Production_Hydrocarbons,2415.1509989976885
ARE,1999,Reserves_Hydrocarbons,103.645125
ARE,2000,Production_Hydrocarbons,2600.2451380472176
ARE,2000,Reserves_Hydrocarbons,103.64415
ARE,2001,Production_Hydrocarbons,2542.1035360069277
ARE,2001,Reserves_Hydrocarbons,103.70655
ARE,2002,Production_Hydrocarbons,2367.7829890350004
ARE,2002,Reserves_Hydrocarbons,103.70264999999999
ARE,2003,Production_Hydrocarbons,2724.0611290111547
ARE,2003,Reserves_Hydrocarbons,103.695825
ARE,2004,Production_Hydrocarbons,2823.2047789859766
ARE,2004,Reserves_Hydrocarbons,103.701675
ARE,2005,Production_Hydrocarbons,2947.1404289608004
ARE,2005,Reserves_Hydrocarbons,103.7085
ARE,2006,Production_Hydrocarbons,3136.2245289440157
