Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Algeria,DZA,1995.0,3.4541192133270764,-1.0176392477899088,1,Petrostates,"<b>Algeria</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $8,133,647,870<br>  Natural Gas: $3,798,226,825<br>  Zinc: $4,428,000"
Angola,AGO,1995.0,0.580102584340993,-1.7005115994039879,3,Oil Exporters,"<b>Angola</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $3,930,715,683"
Azerbaijan,AZE,1995.0,2.6546324436373334,-1.0620652884275434,3,Oil Exporters,"<b>Azerbaijan</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $1,149,476,883<br>  Natural Gas: $398,091,965<br>  Aluminium: $22,220,000"
Bahrain,BHR,1995.0,6.24844874750527,-0.33930819927890743,1,Petrostates,"<b>Bahrain</b><br>Cluster: 1<br><br>Top Resources:<br>  Aluminium: $916,843,660<br>  Natural Gas: $466,077,121<br>  Oil: $247,117,223"
Bolivia,BOL,1995.0,0.2555679469726776,1.3342201336877917,4,Major Producers,"<b>Bolivia</b><br>Cluster: 4<br><br>Top Resources:<br>  Natural Gas: $187,984,285<br>  Zinc: $179,741,130<br>  Gold: $178,622,000"
Burkina Faso,BFA,1995.0,-3.9075359010562156,-1.0794153658599663,0,Forestry Intensive,"<b>Burkina Faso</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $16,876,400"
Cameroon,CMR,1995.0,-0.2902645677179742,-1.2858069640661605,3,Oil Exporters,"<b>Cameroon</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $675,662,282<br>  Aluminium: $160,186,000<br>  Gold: $6,944,000"
Chile,CHL,1995.0,-3.063617046339962,6.206190571056196,2,Mining Exporters,"<b>Chile</b><br>Cluster: 2<br><br>Top Resources:<br>  Copper: $7,590,230,000<br>  Gold: $552,854,000<br>  Iron ore: $182,311,579"
"Congo, Dem. Rep.",COD,1995.0,-2.6660114332597176,-0.5442772798463041,0,Forestry Intensive,"<b>Congo, Dem. Rep.</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $189,685,929<br>  Copper: $106,621,900<br>  Cobalt: $97,361,000"
"Congo, Rep.",COG,1995.0,0.8509218187793298,-1.7112263818732756,3,Oil Exporters,"<b>Congo, Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $1,116,470,481"
Cote d'Ivoire,CIV,1995.0,-2.6304481913005504,-1.1309029882493,0,Forestry Intensive,"<b>Cote d'Ivoire</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $61,184,973<br>  Gold: $24,056,000"
Ecuador,ECU,1995.0,0.20869426382207384,-0.679623911023559,3,Oil Exporters,"<b>Ecuador</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $2,453,379,794<br>  Gold: $91,884,000"
"Egypt, Arab Rep.",EGY,1995.0,1.4808378921744136,-1.2074704954804127,3,Oil Exporters,"<b>Egypt, Arab Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $5,736,006,212<br>  Natural Gas: $743,152,564<br>  Aluminium: $363,600,000"
Equatorial Guinea,GNQ,1995.0,-0.45019146419583916,-1.6597487022177277,3,Oil Exporters,"<b>Equatorial Guinea</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $43,477,617"
Ethiopia,ETH,1995.0,-3.8621951048254113,-1.420374733171686,0,Forestry Intensive,"<b>Ethiopia</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $14,669,200"
Gabon,GAB,1995.0,2.1519216564064085,-2.081036047404339,3,Oil Exporters,"<b>Gabon</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $2,208,703,083<br>  Manganese: $485,229,279"
