Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Algeria,DZA,1995.0,3.634060952963125,-1.0648561451056382,2,Petrostates,"<b>Algeria</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $56,902,879,951<br>  Natural Gas: $33,994,688,278<br>  Zinc: $13,828,880"
Angola,AGO,1995.0,0.7963121728719841,-1.6102091921429609,3,Oil Exporters,"<b>Angola</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $34,071,424,521"
Azerbaijan,AZE,1995.0,2.8328350472440498,-1.0947938068286525,3,Oil Exporters,"<b>Azerbaijan</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $11,831,582,369<br>  Natural Gas: $2,349,283,061<br>  Aluminium: $77,077,300"
Bahrain,BHR,1995.0,6.401074933728124,-0.5301910865173428,2,Petrostates,"<b>Bahrain</b><br>Cluster: 2<br><br>Top Resources:<br>  Natural Gas: $3,941,490,285<br>  Aluminium: $2,883,103,410<br>  Oil: $1,224,628,037"
Bolivia,BOL,1995.0,0.48495599035519776,1.3812330461386026,0,Major Producers,"<b>Bolivia</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Gas: $3,478,288,287<br>  Oil: $1,127,882,451<br>  Zinc: $587,095,370"
Burkina Faso,BFA,1995.0,-3.72854966120198,-0.9402147514240893,1,Forestry Intensive,"<b>Burkina Faso</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $44,827,500"
Cameroon,CMR,1995.0,-0.08982817358482519,-1.2108716786309763,3,Oil Exporters,"<b>Cameroon</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $2,993,639,851<br>  Aluminium: $432,856,200<br>  Gold: $24,524,000"
Chad,TCD,1999.0,-3.677184692846619,-1.395044465762737,1,Forestry Intensive,"<b>Chad</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $3,648,102,312"
Chile,CHL,1995.0,-2.6667254118658845,6.362872068133284,4,Mining Exporters,"<b>Chile</b><br>Cluster: 4<br><br>Top Resources:<br>  Copper: $35,247,844,000<br>  Gold: $1,563,867,100<br>  Silver: $736,453,631"
"Congo, Dem. Rep.",COD,1995.0,-2.4473711066521964,-0.4173480710097843,1,Forestry Intensive,"<b>Congo, Dem. Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $2,334,442,642<br>  Cobalt: $1,156,461,000<br>  Copper: $534,181,900"
"Congo, Rep.",COG,1995.0,1.0698927841662622,-1.6233677790692551,3,Oil Exporters,"<b>Congo, Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $7,773,823,220<br>  Gold: $500,500"
Cote d'Ivoire,CIV,1995.0,-2.438458756111148,-1.0032446876175383,1,Forestry Intensive,"<b>Cote d'Ivoire</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $1,025,943,251<br>  Gold: $74,182,400"
Ecuador,ECU,1995.0,0.44047715386796304,-0.5669078739858834,3,Oil Exporters,"<b>Ecuador</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $15,592,212,376<br>  Gold: $186,451,400<br>  Silver: $66,788"
"Egypt, Arab Rep.",EGY,1995.0,1.6645792337243057,-1.2019342726696365,3,Oil Exporters,"<b>Egypt, Arab Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $24,533,090,616<br>  Natural Gas: $13,030,048,073<br>  Aluminium: $1,035,860,000"
Equatorial Guinea,GNQ,1995.0,-0.24448714921509146,-1.5601491813559365,3,Oil Exporters,"<b>Equatorial Guinea</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $8,265,056,536<br>  Gold: $2,860,000"
Ethiopia,ETH,1995.0,-3.6892724901168816,-1.2880086871873277,1,Forestry Intensive,"<b>Ethiopia</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $94,303,000<br>  Silver: $324,829"
Gabon,GAB,1995.0,2.3952297535123974,-1.9749735924030525,3,Oil Exporters,"<b>Gabon</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $9,818,183,047<br>  Manganese: $1,628,737,967<br>  Gold: $4,920,000"
Ghana,GHA,1995.0,-2.5120969103791775,0.363817838879316,1,Forestry Intensive,"<b>Ghana</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $2,300,415,600<br>  Aluminium: $458,050,000<br>  Manganese: $366,028,210"
Guinea,GIN,1995.0,-3.8256870153373064,0.12134874866503109,1,Forestry Intensive,"<b>Guinea</b><br>Cluster: 1<br><br>Top Resources:<br>  Bauxite: $1,257,698,532<br>  Gold: $561,765,900"
Indonesia,IDN,1995.0,1.2382892940400498,2.3292933425825346,0,Major Producers,"<b>Indonesia</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $40,840,669,720<br>  Natural Gas: $30,112,889,766<br>  Coal: $11,298,502,044"
"Iran, Islamic Rep.",IRN,1995.0,3.3097563179784344,1.0979859622560373,2,Petrostates,"<b>Iran, Islamic Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $130,816,003,901<br>  Natural Gas: $32,214,897,890<br>  Iron ore: $2,296,747,895"
Iraq,IRQ,1995.0,1.657826590628939,-1.3443480376649917,3,Oil Exporters,"<b>Iraq</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $56,888,709,809<br>  Natural Gas: $805,266,677"
Kazakhstan,KAZ,1995.0,1.8951748873794196,6.375969291223895,0,Major Producers,"<b>Kazakhstan</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $32,855,417,690<br>  Coal: $9,189,992,886<br>  Natural Gas: $5,923,396,219"
Kenya,KEN,1995.0,-3.680804352378228,-1.36297894701069,1,Forestry Intensive,"<b>Kenya</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $19,591,200<br>  Lead: $3,732"
Kuwait,KWT,1995.0,6.759567153289082,-1.12292805858368,2,Petrostates,"<b>Kuwait</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $80,023,791,851<br>  Natural Gas: $4,355,817,532"
Lao PDR,LAO,1995.0,-3.674809330727045,-1.2783319236181347,1,Forestry Intensive,"<b>Lao PDR</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $116,433,600<br>  Gold: $90,633,400<br>  Coal: $34,175,589"
Liberia,LBR,1995.0,-3.7686279909011944,-0.5853266665692528,1,Forestry Intensive,"<b>Liberia</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $10,502,500"
Libya,LBY,1995.0,4.768930118608124,-1.2201592892706001,2,Petrostates,"<b>Libya</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $53,004,058,647<br>  Natural Gas: $3,654,269,683"
Madagascar,MDG,1995.0,-3.6783050970415365,-1.3960653347969008,1,Forestry Intensive,"<b>Madagascar</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Graphite: $21,499,700<br>  Coal: $414,267<br>  Gold: $143,000"
