,Country,Year,Value,Resource,Metric,Price,Price_Production
0,Canada,1965,920,Oil,Production,,
1,Mexico,1965,362,Oil,Production,,
2,US,1965,9014.148,Oil,Production,,
3,Total North America,1965,10296.148,Oil,Production,,
4,Argentina,1965,275.6739726027397,Oil,Production,,
5,Brazil,1965,96.05,Oil,Production,,
6,Colombia,1965,203,Oil,Production,,
7,Ecuador,1965,8.000000000000002,Oil,Production,,
8,Guyana,1965,0,Oil,Production,,
9,Peru,1965,66,Oil,Production,,
10,Trinidad & Tobago,1965,135,Oil,Production,,
11,Venezuela,1965,3503,Oil,Production,,
12,Other S. & Cent. America,1965,47.13452054794519,Oil,Production,,
13,Total S. & Cent. America,1965,4333.858493150686,Oil,Production,,
14,Denmark,1965,0,Oil,Production,,
15,Italy,1965,47.76627397260273,Oil,Production,,
16,Norway,1965,0,Oil,Production,,
17,Romania,1965,265.7759178082192,Oil,Production,,
18,United Kingdom,1965,1.7398356164383564,Oil,Production,,
19,Other Europe,1965,470.4719452054794,Oil,Production,,
20,Total Europe,1965,785.7539726027396,Oil,Production,,
21,Azerbaijan,1965,0,Oil,Production,,
22,Kazakhstan,1965,0,Oil,Production,,
23,Russian Federation,1965,0,Oil,Production,,
24,Turkmenistan,1965,0,Oil,Production,,
25,Uzbekistan,1965,0,Oil,Production,,
26,Other CIS,1965,0,Oil,Production,,
27,Total CIS,1965,4857.759999999999,Oil,Production,,
28,Iran,1965,1908,Oil,Production,,
29,Iraq,1965,1313.0000000000002,Oil,Production,,
30,Kuwait,1965,2371.0000000000005,Oil,Production,,
31,Oman,1965,0,Oil,Production,,
32,Qatar,1965,233,Oil,Production,,
33,Saudi Arabia,1965,2219.3,Oil,Production,,
34,Syria,1965,0,Oil,Production,,
35,United Arab Emirates,1965,282.2,Oil,Production,,
36,Yemen,1965,0,Oil,Production,,
37,Other Middle East,1965,60.99616438356164,Oil,Production,,
38,Total Middle East,1965,8387.496164383563,Oil,Production,,
39,Algeria,1965,569.9438356164384,Oil,Production,,
40,Angola,1965,13.297397260273971,Oil,Production,,
41,Chad,1965,0,Oil,Production,,
42,Republic of Congo ,1965,1.3772054794520547,Oil,Production,,
43,Egypt,1965,126.01041095890412,Oil,Production,,
44,Equatorial Guinea,1965,0,Oil,Production,,
45,Gabon,1965,25.334657534246578,Oil,Production,,
46,Libya,1965,1220,Oil,Production,,
47,Nigeria,1965,274.2,Oil,Production,,
